task,domain,policy,success_rate,num_trials,successes
Cup,real,pi_1,0.9,20,18
Cup,real,pi_2,0.95,20,19
Cup,sim,pi_1,0.2625,80,21
Cup,sim,pi_2,0.975,80,78
Tape,real,pi_1,0.7,20,14
Tape,real,pi_2,0.3,20,6
Tape,sim,pi_1,0.25,80,20
Tape,sim,pi_2,0.025,80,2
Pen,real,pi_1,0.85,20,17
Pen,real,pi_2,0.3,20,6
Pen,sim,pi_1,0.3125,80,25
Pen,sim,pi_2,0.0125,80,1
